numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20231201000000;100340;110;3;50;2.300000;274.950000;273.750000;92;3830;10;mq;mq;mq;mq;mq;mq;mq;mq;99450;mq;mq;190;mq;mq;mq;mq;277.250000;mq;mq;3.800000;4.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20231201000000;100390;100;3;60;2.000000;273.150000;272.550000;96;3020;10;mq;mq;100;8;150;mq;mq;mq;99800;mq;mq;160;mq;mq;mq;mq;277.650000;mq;mq;3.200000;4.100000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;120;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20231201000000;100210;150;3;120;5.600000;279.550000;277.050000;84;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100100;mq;mq;290;mq;mq;mq;mq;mq;mq;mq;8.700000;14.600000;-10;mq;mq;mq;mq;0.000000;0.200000;0.600000;5.200000;8.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20231201000000;100270;140;3;70;3.700000;276.950000;275.350000;89;24400;0;mq;mq;100;5;800;mq;mq;mq;99450;mq;mq;210;mq;mq;mq;mq;279.250000;mq;mq;6.000000;6.000000;-10;1;0.000000;mq;mq;0.000000;0.200000;1.000000;1.000000;1.000000;mq;mq;mq;mq;3;mq;960;5;mq;1320;8;mq;1860;mq;mq;mq;
07037;20231201000000;100270;100;1;30;3.200000;275.750000;275.050000;95;7440;51;mq;mq;100;5;800;mq;mq;mq;98350;mq;mq;120;mq;mq;mq;mq;277.850000;mq;mq;4.400000;5.700000;-10;mq;0.000000;mq;mq;-0.100000;1.200000;1.200000;1.200000;1.200000;mq;mq;mq;mq;1;mq;990;5;mq;1260;8;mq;1560;mq;mq;mq;
07072;20231201000000;100160;80;1;360;1.600000;274.450000;274.150000;98;5630;0;mq;mq;100;8;2250;mq;mq;mq;98990;mq;mq;-120;mq;mq;mq;mq;275.150000;mq;mq;2.700000;2.700000;-10;0;mq;mq;mq;0.000000;0.000000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;2160;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20231201000000;99980;170;3;70;5.000000;277.350000;276.450000;94;11060;0;mq;mq;100;8;1750;mq;mq;mq;98790;mq;mq;170;mq;mq;mq;mq;275.550000;mq;mq;7.000000;7.400000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;1.200000;4.800000;mq;mq;mq;mq;8;mq;1680;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20231201000000;100030;140;3;70;5.800000;281.150000;278.450000;83;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99330;mq;mq;190;mq;mq;mq;mq;mq;mq;mq;10.200000;12.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;5.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20231201000000;100080;130;1;70;2.400000;278.950000;278.250000;95;5980;0;mq;mq;100;8;450;mq;mq;mq;99630;mq;mq;80;mq;mq;mq;mq;280.950000;mq;mq;3.200000;3.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.400000;1.800000;mq;mq;mq;mq;8;mq;570;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20231201000000;100190;140;3;50;2.800000;277.150000;275.650000;90;13490;0;mq;mq;100;8;800;mq;mq;mq;98420;mq;mq;100;mq;mq;mq;mq;279.950000;mq;mq;4.700000;4.700000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;1.400000;1.400000;mq;mq;mq;mq;8;mq;900;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20231201000000;100180;110;2;40;3.300000;277.350000;276.050000;91;6260;0;mq;mq;100;7;250;mq;mq;mq;99080;mq;mq;-40;mq;mq;mq;mq;mq;mq;mq;4.700000;5.800000;-10;1;0.000000;mq;mq;-0.100000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;5;mq;270;6;mq;870;7;mq;1140;mq;mq;mq;
07168;20231201000000;100060;60;1;20;1.300000;276.850000;275.850000;93;13070;58;mq;mq;100;8;450;mq;mq;mq;98620;mq;mq;-230;mq;mq;mq;mq;277.750000;mq;mq;2.500000;2.600000;-10;2;0.000000;mq;mq;0.200000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;6;mq;570;6;mq;750;7;mq;1020;mq;mq;mq;
07181;20231201000000;100130;20;3;10;1.800000;273.750000;273.050000;95;940;68;mq;mq;100;8;150;mq;mq;mq;95880;mq;mq;-290;mq;mq;mq;mq;273.150000;mq;mq;2.400000;2.400000;-10;mq;mq;mq;mq;0.800000;0.800000;0.800000;0.800000;0.800000;mq;mq;mq;mq;2;mq;120;5;mq;390;8;mq;660;mq;8;mq;
07190;20231201000000;100140;20;0;mq;mq;275.350000;274.150000;92;9080;mq;mq;mq;100;8;450;mq;mq;mq;98290;mq;mq;-350;mq;mq;mq;mq;275.050000;mq;mq;mq;mq;-10;mq;mq;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;510;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07207;20231201000000;99870;110;1;40;3.500000;282.250000;277.850000;74;15000;2;2;mq;90;7;800;38;27;mq;99350;mq;mq;-40;mq;mq;mq;mq;mq;mq;mq;5.500000;7.500000;-10;0;mq;mq;mq;-0.100000;0.200000;0.200000;0.600000;1.800000;mq;mq;mq;mq;4;6;800;3;3;2500;mq;mq;mq;mq;mq;mq;
07222;20231201000000;99990;110;3;50;1.300000;277.550000;277.450000;99;260;44;mq;mq;90;7;30;mq;mq;mq;99670;mq;mq;60;mq;mq;mq;mq;277.150000;mq;mq;2.300000;3.900000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;1.000000;1.000000;mq;mq;mq;mq;1;mq;30;7;mq;1230;7;mq;1740;mq;mq;mq;
07240;20231201000000;100120;150;3;20;1.600000;278.150000;277.850000;98;5200;0;mq;mq;100;8;80;mq;mq;mq;98760;mq;mq;80;mq;mq;mq;mq;279.850000;mq;mq;3.200000;3.200000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.400000;0.400000;mq;mq;mq;mq;8;mq;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07255;20231201000000;100090;120;3;270;1.000000;278.950000;278.350000;96;13650;0;mq;mq;mq;mq;mq;mq;mq;mq;98090;mq;mq;-80;mq;mq;mq;mq;279.050000;mq;mq;1.600000;2.300000;-10;mq;0.000000;mq;mq;0.000000;0.000000;-0.100000;0.400000;2.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07280;20231201000000;100000;10;1;0;0.000000;277.250000;277.150000;99;2380;61;mq;mq;100;8;80;mq;mq;mq;97340;mq;mq;-350;mq;mq;mq;mq;278.550000;mq;mq;0.800000;1.900000;-10;2;0.000000;mq;mq;0.600000;1.200000;1.200000;3.200000;4.600000;mq;mq;mq;mq;8;mq;60;mq;8;mq;mq;mq;mq;mq;mq;mq;
07299;20231201000000;100070;-40;7;310;1.000000;275.350000;275.050000;98;4840;63;mq;mq;100;8;150;mq;mq;mq;96760;mq;mq;-410;mq;mq;mq;mq;277.250000;mq;mq;1.800000;2.000000;-10;2;0.000000;mq;mq;0.800000;2.200000;3.600000;6.800000;12.800000;mq;mq;mq;mq;8;mq;120;mq;8;mq;mq;mq;mq;mq;mq;mq;
07314;20231201000000;100010;90;1;290;3.700000;282.850000;278.850000;76;12000;61;6;2;100;8;800;37;mq;mq;99730;mq;mq;190;mq;mq;mq;mq;mq;mq;mq;7.200000;12.100000;-10;2;mq;mq;mq;0.200000;0.400000;0.800000;0.800000;1.400000;mq;mq;mq;mq;8;7;800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07335;20231201000000;100060;100;1;180;1.900000;279.550000;279.550000;100;190;45;mq;mq;101;9;30;mq;mq;mq;98610;mq;mq;110;mq;mq;mq;mq;279.950000;mq;mq;3.000000;3.400000;-10;2;0.000000;mq;mq;0.000000;0.000000;0.000000;1.200000;4.200000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07434;20231201000000;100130;90;3;250;1.500000;279.150000;278.750000;97;17760;0;mq;mq;100;4;800;mq;mq;mq;95350;mq;mq;190;mq;mq;mq;mq;280.250000;mq;mq;2.400000;4.200000;-10;2;0.000000;mq;mq;0.000000;0.200000;2.100000;6.500000;9.900000;mq;mq;mq;mq;2;mq;600;4;mq;810;8;mq;2460;mq;mq;mq;
07460;20231201000000;100020;80;3;80;3.000000;280.950000;280.350000;96;22000;60;mq;mq;100;8;250;mq;mq;mq;96110;mq;mq;-70;mq;mq;mq;mq;280.950000;mq;mq;4.800000;5.100000;-10;2;0.000000;mq;mq;0.200000;0.200000;1.800000;2.800000;5.900000;mq;mq;mq;mq;1;mq;210;3;mq;750;7;mq;930;mq;mq;mq;
07471;20231201000000;mq;10;3;250;1.500000;279.950000;279.650000;98;7180;61;mq;mq;100;7;150;mq;mq;mq;90380;92500;642;-120;mq;mq;mq;mq;279.450000;mq;mq;2.700000;2.700000;-10;2;0.000000;mq;mq;0.800000;1.600000;3.000000;3.600000;8.000000;mq;mq;mq;mq;2;mq;180;6;mq;300;7;mq;480;mq;mq;mq;
07481;20231201000000;99910;10;2;150;2.800000;282.450000;282.350000;99;5500;61;6;6;100;8;800;35;mq;mq;97070;mq;mq;-450;mq;mq;mq;mq;mq;mq;mq;4.700000;5.900000;-10;2;0.000000;0.000000;-60;1.200000;2.600000;4.400000;mq;mq;mq;mq;mq;mq;4;7;600;8;6;1200;mq;mq;mq;mq;mq;mq;
07510;20231201000000;100070;20;0;200;3.300000;282.350000;281.750000;96;43570;0;mq;mq;100;7;1250;mq;mq;mq;99490;mq;mq;370;mq;mq;mq;mq;281.750000;mq;mq;4.900000;5.100000;-10;2;0.000000;mq;mq;-0.100000;-0.100000;1.400000;8.000000;17.300000;mq;mq;mq;mq;6;mq;1080;7;mq;1350;7;mq;1560;mq;mq;mq;
07535;20231201000000;100130;50;3;340;1.000000;281.150000;281.150000;100;420;45;mq;mq;101;9;30;mq;mq;mq;97030;mq;mq;190;mq;mq;mq;mq;281.850000;mq;mq;2.000000;2.600000;-10;2;0.000000;mq;mq;0.400000;1.000000;5.700000;14.500000;21.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07558;20231201000000;99850;0;5;350;2.500000;280.950000;280.950000;100;160;45;mq;mq;mq;mq;mq;mq;mq;mq;91660;mq;mq;-310;mq;mq;mq;mq;280.750000;mq;mq;3.300000;3.300000;-10;mq;0.000000;mq;mq;0.000000;0.600000;1.600000;1.600000;7.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07577;20231201000000;99830;-40;8;270;1.000000;282.650000;282.350000;98;2010;10;mq;mq;mq;mq;mq;mq;mq;mq;98950;mq;mq;-630;mq;mq;mq;mq;281.650000;mq;mq;1.400000;1.700000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;1.000000;6.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07591;20231201000000;mq;60;8;30;2.500000;276.350000;275.650000;95;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;90050;mq;mq;-520;mq;272.950000;mq;276.650000;mq;mq;mq;mq;mq;mq;mq;0.000000;mq;mq;2.200000;7.800000;14.200000;16.600000;55.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07607;20231201000000;100120;40;3;0;0.000000;282.150000;281.850000;98;20000;0;mq;mq;100;8;150;mq;mq;mq;99410;mq;mq;250;mq;mq;mq;mq;283.050000;mq;mq;0.900000;2.000000;-10;mq;0.000000;mq;mq;-0.100000;1.400000;5.200000;21.300000;39.500000;mq;mq;mq;mq;1;mq;150;8;mq;1110;mq;mq;mq;mq;mq;mq;
07621;20231201000000;100170;50;1;110;1.400000;281.150000;280.750000;97;17410;61;mq;mq;100;7;150;mq;mq;mq;95870;mq;mq;220;mq;mq;mq;mq;282.050000;mq;mq;2.900000;2.900000;-10;2;0.000000;mq;mq;0.800000;2.200000;5.200000;7.400000;7.600000;mq;mq;mq;mq;2;mq;180;7;mq;1470;8;mq;1800;mq;8;mq;
07627;20231201000000;100170;140;3;300;6.300000;281.450000;281.150000;98;5400;61;mq;mq;100;8;150;mq;mq;mq;95300;mq;mq;110;mq;mq;mq;mq;283.550000;mq;mq;10.200000;10.200000;-10;2;0.000000;mq;mq;-0.100000;0.600000;3.000000;3.800000;4.400000;mq;mq;mq;mq;8;mq;150;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07630;20231201000000;100120;110;3;320;6.400000;282.850000;282.350000;97;3920;61;mq;mq;100;8;150;mq;mq;mq;98330;mq;mq;30;mq;mq;mq;mq;282.950000;mq;mq;9.100000;9.100000;-10;2;0.000000;mq;mq;0.800000;1.600000;3.600000;3.800000;3.800000;mq;mq;mq;mq;6;mq;120;7;mq;330;8;mq;510;mq;mq;mq;
07643;20231201000000;99840;-90;5;330;2.700000;283.850000;283.050000;95;11930;0;mq;mq;100;8;150;mq;mq;mq;99740;mq;mq;-560;mq;mq;mq;mq;283.450000;mq;mq;3.700000;5.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;8;mq;150;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07650;20231201000000;99800;-90;6;150;5.400000;289.550000;287.350000;87;10390;0;mq;mq;100;8;450;mq;mq;mq;99430;mq;mq;-550;mq;mq;mq;mq;282.850000;mq;mq;7.700000;9.300000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;7;mq;450;8;mq;690;mq;mq;mq;mq;mq;mq;
