numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20230201000000;102600;-10;8;270;5.700000;280.150000;278.450000;89;13530;0;mq;mq;mq;mq;mq;mq;mq;mq;101710;mq;mq;-250;mq;mq;mq;mq;278.550000;mq;mq;8.300000;9.200000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20230201000000;102450;-40;5;260;4.700000;280.250000;278.550000;89;19370;0;mq;mq;100;8;1250;mq;mq;mq;101870;mq;mq;-320;mq;mq;mq;mq;278.150000;mq;mq;6.300000;7.100000;-10;1;0.000000;mq;mq;0.000000;0.000000;-0.100000;0.200000;0.400000;mq;mq;mq;mq;8;mq;1440;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20230201000000;102950;0;5;300;7.800000;281.950000;277.150000;72;14000;1;mq;mq;mq;mq;mq;mq;mq;mq;102840;mq;mq;-40;mq;mq;mq;mq;mq;mq;mq;9.900000;11.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20230201000000;102950;20;0;270;4.600000;280.350000;277.150000;80;19940;0;mq;mq;100;8;800;mq;mq;mq;102120;mq;mq;-80;mq;mq;mq;mq;279.350000;mq;mq;7.300000;7.300000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;8;mq;990;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20230201000000;102790;-30;8;280;4.600000;280.350000;277.350000;81;18140;0;mq;mq;100;8;450;mq;mq;mq;100850;mq;mq;-170;mq;mq;mq;mq;278.250000;mq;mq;7.700000;10.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;-0.100000;0.400000;0.400000;mq;mq;mq;mq;1;mq;510;8;mq;990;mq;mq;mq;mq;mq;mq;
07072;20230201000000;102630;-80;8;250;4.700000;280.350000;278.350000;87;19940;0;mq;mq;100;8;450;mq;mq;mq;101450;mq;mq;-300;mq;mq;mq;mq;278.650000;mq;mq;7.800000;7.800000;-10;1;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;7;mq;390;8;mq;780;mq;mq;mq;mq;mq;mq;
07110;20230201000000;103260;0;0;280;1.300000;280.850000;277.950000;82;18820;0;mq;mq;100;8;800;mq;mq;mq;102040;mq;mq;50;mq;mq;mq;mq;278.450000;mq;mq;2.800000;4.700000;-10;mq;0.000000;mq;mq;0.000000;0.000000;-0.100000;0.600000;0.600000;mq;mq;mq;mq;8;mq;870;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20230201000000;103120;0;0;270;3.700000;282.550000;277.350000;70;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102400;mq;mq;-30;mq;mq;mq;mq;mq;mq;mq;7.400000;10.000000;-10;mq;mq;mq;mq;0.000000;0.000000;-0.100000;0.800000;0.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20230201000000;103160;0;5;290;2.800000;281.150000;278.450000;83;18970;0;mq;mq;100;8;800;mq;mq;mq;102700;mq;mq;0;mq;mq;mq;mq;279.950000;mq;mq;4.600000;6.000000;-10;2;0.000000;mq;mq;0.000000;0.200000;0.200000;0.400000;0.400000;mq;mq;mq;mq;8;mq;930;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20230201000000;103010;-10;5;290;3.300000;280.650000;277.450000;80;20000;0;mq;mq;100;8;800;mq;mq;mq;101220;mq;mq;-70;mq;mq;mq;mq;277.650000;mq;mq;6.000000;6.900000;-10;1;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;900;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20230201000000;102850;-40;7;240;2.800000;279.850000;278.050000;88;15030;0;mq;mq;100;8;450;mq;mq;mq;101730;mq;mq;-170;mq;mq;mq;mq;mq;mq;mq;4.700000;4.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;7;mq;300;8;mq;450;mq;mq;mq;mq;mq;mq;
07168;20230201000000;102850;-60;8;240;6.400000;278.250000;277.050000;92;9400;61;mq;mq;100;8;800;mq;mq;mq;101380;mq;mq;-160;mq;mq;mq;mq;278.050000;mq;mq;8.800000;11.400000;-10;2;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;2;mq;630;3;mq;840;6;mq;1110;mq;mq;mq;
07181;20230201000000;102750;-90;8;230;6.900000;276.750000;276.350000;97;13330;0;mq;mq;100;8;150;mq;mq;mq;98440;mq;mq;-240;mq;mq;mq;mq;276.350000;mq;mq;10.200000;10.200000;-10;mq;mq;mq;mq;0.200000;0.200000;0.400000;0.400000;0.400000;mq;mq;mq;mq;8;mq;180;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07190;20230201000000;102690;-100;7;210;5.300000;277.550000;275.850000;89;60000;0;mq;mq;100;2;800;mq;mq;mq;100810;mq;mq;-280;mq;mq;mq;mq;276.050000;mq;mq;7.900000;7.900000;-10;1;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;1;mq;720;8;mq;1740;mq;mq;mq;mq;mq;mq;
07222;20230201000000;103160;-60;7;220;1.000000;279.650000;278.450000;92;12730;0;mq;mq;100;8;250;mq;mq;mq;102830;mq;mq;20;mq;mq;mq;mq;279.150000;mq;mq;1.600000;2.500000;-10;0;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;1;mq;240;8;mq;1170;mq;mq;mq;mq;mq;mq;
07240;20230201000000;103080;-80;8;240;2.800000;278.650000;276.650000;87;14380;0;mq;mq;100;8;800;mq;mq;mq;101680;mq;mq;-40;mq;mq;mq;mq;278.350000;mq;mq;3.900000;4.500000;-10;0;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;6;mq;600;8;mq;960;mq;mq;mq;mq;mq;mq;
07255;20230201000000;103130;-50;8;240;1.600000;277.250000;275.950000;91;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101050;mq;mq;-30;mq;mq;mq;mq;275.850000;mq;mq;2.200000;2.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07280;20230201000000;103020;-70;7;180;1.500000;276.950000;274.650000;85;32510;0;mq;mq;100;8;800;mq;mq;mq;100280;mq;mq;-30;mq;mq;mq;mq;277.350000;mq;mq;2.700000;2.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;990;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07299;20230201000000;102910;-90;6;250;2.800000;277.450000;274.350000;80;47070;0;mq;mq;mq;5;1750;mq;mq;mq;99530;mq;mq;-130;mq;mq;mq;mq;274.950000;mq;mq;5.000000;7.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;5;mq;1620;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07314;20230201000000;103280;-20;5;190;0.500000;280.050000;278.150000;88;mq;mq;2;mq;mq;mq;mq;mq;mq;mq;102990;mq;mq;40;mq;mq;mq;mq;mq;mq;mq;0.900000;1.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;2.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
