numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20230301000000;103060;10;1;50;3.200000;272.250000;267.850000;72;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;102140;mq;mq;30;mq;mq;mq;mq;270.150000;mq;mq;4.400000;5.400000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20230301000000;103090;20;2;20;4.400000;273.450000;267.450000;64;22750;0;mq;mq;mq;0;mq;mq;mq;mq;102490;mq;mq;50;mq;mq;mq;mq;272.750000;mq;mq;5.700000;6.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20230301000000;103000;90;2;90;8.600000;277.850000;272.450000;68;12000;2;2;mq;90;7;800;35;mq;mq;102890;mq;mq;-10;mq;mq;mq;mq;mq;mq;mq;12.900000;14.900000;-10;mq;mq;mq;mq;0.000000;0.000000;2.200000;2.400000;3.600000;mq;mq;mq;mq;6;6;700;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20230301000000;103010;70;1;50;3.600000;273.650000;269.150000;72;25170;0;mq;mq;mq;0;mq;mq;mq;mq;102150;mq;mq;10;mq;mq;mq;mq;275.550000;mq;mq;6.600000;7.300000;-10;5;0.000000;mq;mq;0.000000;0.000000;0.000000;4.400000;4.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20230301000000;103000;30;1;20;4.100000;271.350000;266.050000;67;26280;0;mq;mq;mq;0;mq;mq;mq;mq;100990;mq;mq;40;mq;mq;mq;mq;274.750000;mq;mq;5.800000;6.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20230301000000;102810;20;1;20;5.300000;272.550000;266.950000;66;20000;0;mq;mq;mq;0;mq;mq;mq;mq;101600;mq;mq;60;mq;mq;mq;mq;271.250000;mq;mq;7.700000;7.700000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20230301000000;102860;-70;5;60;6.000000;276.750000;275.550000;92;14740;60;mq;mq;90;6;800;mq;mq;mq;101630;mq;mq;-190;mq;mq;mq;mq;273.250000;mq;mq;10.200000;11.400000;-10;2;0.000000;mq;mq;2.000000;6.900000;6.900000;7.500000;7.500000;mq;mq;mq;mq;3;mq;720;5;mq;960;6;mq;1230;mq;8;mq;
07117;20230301000000;102850;30;3;70;9.000000;278.050000;273.950000;75;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102120;mq;mq;-150;mq;mq;mq;mq;mq;mq;mq;15.700000;17.200000;-10;mq;mq;mq;mq;0.000000;3.900000;4.500000;4.900000;5.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20230301000000;102800;90;1;50;4.200000;273.850000;272.050000;88;7480;0;mq;mq;mq;0;mq;mq;mq;mq;102330;mq;mq;-80;mq;mq;mq;mq;275.450000;mq;mq;6.900000;8.000000;-10;5;0.000000;mq;mq;0.000000;0.000000;4.200000;4.400000;4.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20230301000000;102900;40;3;50;1.600000;270.850000;267.350000;77;20000;0;mq;mq;mq;4;1250;mq;mq;mq;101040;mq;mq;40;mq;mq;mq;mq;275.250000;mq;mq;2.900000;3.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;mq;1470;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20230301000000;102780;0;0;30;4.800000;274.150000;266.350000;56;26200;0;mq;mq;mq;0;mq;mq;mq;mq;101640;mq;mq;30;mq;mq;mq;mq;mq;mq;mq;6.600000;8.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20230301000000;102700;0;0;310;3.500000;270.050000;267.050000;80;19890;0;mq;mq;mq;0;mq;mq;mq;mq;101180;mq;mq;100;mq;mq;mq;mq;268.650000;mq;mq;5.200000;5.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20230301000000;102660;-10;4;50;2.800000;272.050000;266.850000;68;22170;mq;mq;mq;mq;0;mq;mq;mq;mq;98270;mq;mq;100;mq;mq;mq;mq;262.750000;mq;mq;5.300000;6.500000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07190;20230301000000;102640;-30;7;20;3.400000;272.350000;268.150000;73;17160;0;mq;mq;mq;4;6540;mq;mq;mq;100720;mq;mq;70;mq;mq;mq;mq;269.350000;mq;mq;4.800000;5.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;3;mq;6540;4;mq;7440;mq;mq;mq;mq;mq;mq;
07207;20230301000000;102660;-10;5;50;8.200000;276.550000;274.950000;89;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102120;mq;mq;-180;mq;mq;mq;mq;mq;mq;mq;13.400000;13.400000;-10;mq;mq;mq;mq;0.000000;0.200000;0.400000;0.400000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20230301000000;102650;40;3;50;2.900000;274.550000;272.350000;85;13100;0;mq;mq;mq;5;1750;mq;mq;mq;102320;mq;mq;-50;mq;mq;mq;mq;274.750000;mq;mq;4.700000;6.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;mq;1800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07240;20230301000000;102630;0;5;60;4.400000;275.150000;268.650000;62;38890;0;mq;mq;100;8;1250;mq;mq;mq;101220;mq;mq;50;mq;mq;mq;mq;275.250000;mq;mq;6.900000;8.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;1200;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07255;20230301000000;102580;20;0;40;3.300000;273.350000;267.950000;67;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;100480;mq;mq;170;mq;mq;mq;mq;271.750000;mq;mq;5.600000;6.000000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07280;20230301000000;102440;-30;7;360;4.300000;271.950000;267.950000;74;14440;0;mq;mq;mq;1;4080;mq;mq;mq;99660;mq;mq;170;mq;mq;mq;mq;274.150000;mq;mq;7.600000;7.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;4080;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07299;20230301000000;102550;-30;8;320;1.200000;270.650000;268.650000;86;9100;0;mq;mq;75;6;1250;mq;mq;mq;99100;mq;mq;180;mq;mq;mq;mq;271.550000;mq;mq;1.900000;3.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;6;mq;1110;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07314;20230301000000;102510;-30;7;40;6.100000;277.350000;268.350000;52;12000;3;2;mq;100;8;800;38;mq;mq;102220;mq;mq;30;mq;mq;mq;mq;mq;mq;mq;8.800000;9.300000;-10;1;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;8;600;5;6;1000;mq;mq;mq;mq;mq;mq;
07335;20230301000000;102560;0;4;30;2.800000;274.350000;268.050000;63;37690;0;mq;mq;100;8;1250;mq;mq;mq;101040;mq;mq;80;mq;mq;mq;mq;276.350000;mq;mq;4.400000;4.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;1380;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07434;20230301000000;102440;-10;5;50;5.500000;271.950000;267.750000;73;20510;0;mq;mq;100;8;1250;mq;mq;mq;97420;mq;mq;170;mq;mq;mq;mq;273.750000;mq;mq;8.500000;10.000000;-10;4;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;1380;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07460;20230301000000;102420;-20;7;340;2.700000;273.250000;267.450000;65;25550;0;mq;mq;100;8;800;mq;mq;mq;98290;mq;mq;190;mq;mq;mq;mq;273.850000;mq;mq;4.300000;5.300000;-10;0;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;930;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07471;20230301000000;mq;-40;6;0;0.000000;269.550000;267.350000;85;19050;0;mq;mq;100;8;450;mq;mq;mq;92200;92500;807;150;mq;mq;mq;mq;270.850000;mq;mq;0.600000;1.600000;-10;13;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;480;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07481;20230301000000;102300;30;3;350;4.000000;273.050000;268.950000;74;16000;1;2;2;75;6;mq;35;20;10;99290;mq;mq;230;mq;mq;mq;mq;mq;mq;mq;5.000000;7.200000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;6;1050;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07510;20230301000000;102420;-70;8;320;1.900000;275.050000;267.650000;58;43240;0;mq;mq;100;8;1750;mq;mq;mq;101810;mq;mq;80;mq;mq;mq;mq;274.050000;mq;mq;2.900000;2.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;1800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07535;20230301000000;102340;-40;6;270;1.000000;273.250000;267.450000;65;20000;0;mq;mq;100;8;1750;mq;mq;mq;99070;mq;mq;190;mq;mq;mq;mq;275.550000;mq;mq;1.500000;2.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;1620;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07558;20230301000000;102150;-30;6;320;2.700000;271.650000;267.750000;75;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;93480;mq;mq;190;mq;mq;mq;mq;273.250000;mq;mq;4.300000;4.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07577;20230301000000;101970;-10;5;20;7.100000;277.250000;269.950000;59;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101050;mq;mq;180;mq;mq;mq;mq;275.750000;mq;mq;12.300000;13.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07591;20230301000000;mq;20;8;70;9.700000;279.250000;266.650000;40;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;91350;mq;mq;30;mq;274.950000;mq;281.450000;mq;mq;mq;mq;mq;mq;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07607;20230301000000;102420;-60;6;280;0.700000;273.150000;267.950000;68;55640;0;mq;mq;100;8;1750;mq;mq;mq;101670;mq;mq;90;mq;mq;mq;mq;270.650000;mq;mq;1.100000;1.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;1920;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07621;20230301000000;102400;-40;8;280;2.900000;274.050000;268.650000;67;26740;0;mq;mq;100;7;1250;mq;mq;mq;97890;mq;mq;60;mq;mq;mq;mq;275.050000;mq;mq;4.500000;5.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;mq;1200;7;mq;1440;8;mq;1620;mq;mq;mq;
